Ar,"1 day","1 day (2 VPSA)","2 days","4 days","5 days","1 day (sat.)","3 days"
2400,7.8695342000000004,7.8843712999999989,7.7861561999999989,7.5941450999999986,7.4923887999999987,7.7000000000000002,
2448,,,,,,,7.537721799999999
4800,2.9285000999999999,2.9333784999999999,2.8235873000000002,2.5981714999999999,2.4819138999999999,2.7400000000000002,
4824,,,,,,,2.6831155999999998
6000,1.7714282000000003,1.7744107,1.6684162999999996,1.4495707999999998,1.3371812999999999,1.6000000000000001,
6048,,,,,,,1.5248363
7200,1.0611558999999999,1.0633037000000001,0.96350963999999983,0.77471038999999997,0.69245835999999994,0.94999999999999996,0.86591867999999994
8400,0.63970959999999999,0.62786085000000003,0.57139015000000004,0.46062198999999998,0.41964771000000001,,
8424,,,,,,,0.50622526999999995
9600,0.39870040000000001,0.36803844999999996,0.36156937,0.31007334999999997,0.29461363000000002,,
9648,,,,,,,0.32692768
