"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
10.6151,101064.75,-0.25
26.921801,101066.58,1.58000000000175
42.767799,101065.65,0.649999999994179
67.881798,101064.17,-0.830000000001746
107.6848,101061.83,-3.16999999999825
170.76781,101069.28,4.27999999999884
270.7468,101081.08,16.0800000000017
370.7468,101075.18,10.179999999993
470.7468,101069.29,4.2899999999936
570.74683,101063.41,-1.58999999999651
670.74683,101057.54,-7.4600000000064
770.74683,101069.38,4.38000000000466
870.74683,101081.2,16.1999999999971
970.74683,101075.3,10.3000000000029
1070.7468,101069.41,4.41000000000349
1170.7468,101063.55,-1.44999999999709
1270.7468,101057.68,-7.32000000000698
1370.7468,101069.54,4.5399999999936
1470.7468,101081.38,16.3800000000047
1570.7468,101075.49,10.4900000000052
1670.7468,101069.62,4.61999999999534
1770.7468,101063.75,-1.25
1870.7468,101057.9,-7.10000000000582
1970.7468,101069.77,4.77000000000407
2070.7468,101081.64,16.6399999999994
2170.7468,101075.76,10.7599999999948
2270.7468,101069.89,4.88999999999942
2370.7468,101064.03,-0.970000000001164
2470.7468,101058.18,-6.82000000000698
2570.7468,101070.08,5.08000000000175
2670.7468,101081.96,16.9600000000064
2770.7468,101076.09,11.0899999999965
2870.7468,101070.23,5.22999999999593
2970.7468,101064.38,-0.619999999995343
3070.7468,101058.53,-6.47000000000116
3170.7468,101070.45,5.44999999999709
3270.7468,101082.35,17.3500000000058
3370.7468,101076.49,11.4900000000052
3470.7468,101070.63,5.63000000000466
3570.7468,101064.79,-0.210000000006403
3670.7468,101058.95,-6.05000000000291
3770.7468,101070.89,5.88999999999942
3870.7468,101082.81,17.8099999999977
3970.7468,101076.95,11.9499999999971
4070.7468,101071.1,6.10000000000582
4170.7466,101065.27,0.270000000004075
4270.7466,101059.44,-5.55999999999767
4370.7466,101053.62,-11.3800000000047
4470.7466,101065.59,0.589999999996508
4570.7466,101077.54,12.5399999999936
4670.7466,101071.7,6.69999999999709
4770.7466,101065.87,0.869999999995343
4870.7466,101060.04,-4.9600000000064
