"t (s)","P (Pa)","Pnorm (Pa)"
3088870.8,101043.79,-21.2100000000064
3110470.8,101035.92,-29.0800000000017
3132070.8,101058.84,-6.16000000000349
3153670.8,101051.2,-13.8000000000029
3175270.8,101043.34,-21.6600000000035
3196870.8,101035.51,-29.4900000000052
3218470.8,101058.48,-6.52000000000407
3240070.8,101050.72,-14.2799999999988
3261670.8,101042.9,-22.1000000000058
3283270.8,101050.36,-14.6399999999994
3304870.8,101057.83,-7.16999999999825
3326470.8,101050.12,-14.8800000000047
3348070.8,101042.27,-22.7299999999959
3369670.8,101065.03,0.0299999999988358
3391270.8,101057.25,-7.75
3412870.8,101049.34,-15.6600000000035
3434470.8,101041.47,-23.5299999999988
3456070.8,101064.31,-0.690000000002328
3477670.8,101056.51,-8.49000000000524
3499270.8,101048.66,-16.3399999999965
3520870.8,101040.78,-24.2200000000012
3542470.8,101063.53,-1.47000000000116
3564070.8,101055.71,-9.2899999999936
3585670.8,101047.85,-17.1499999999942
3607270.8,101039.87,-25.1300000000047
3628870.8,101062.63,-2.36999999999534
3650470.8,101054.79,-10.2100000000064
3672070.8,101046.91,-18.0899999999965
3693670.8,101039,-26
3715270.8,101061.84,-3.16000000000349
3736870.8,101053.99,-11.0099999999948
3758470.8,101046.11,-18.8899999999994
3780070.8,101038.19,-26.8099999999977
3801670.8,101060.95,-4.05000000000291
3823270.8,101053.09,-11.9100000000035
3844870.8,101045.2,-19.8000000000029
3866470.8,101037.27,-27.7299999999959
3888070.8,101060.03,-4.97000000000116
3909670.8,101052.16,-12.8399999999965
3931270.8,101044.27,-20.7299999999959
3952870.8,101036.33,-28.6699999999983
3974470.8,101059.09,-5.91000000000349
3996070.8,101051.22,-13.7799999999988
4017670.8,101043.23,-21.7700000000041
4039270.8,101035.28,-29.7200000000012
4060870.8,101058.15,-6.85000000000582
4082470.8,101050.27,-14.7299999999959
4104070.8,101042.35,-22.6499999999942
4125670.8,101064.96,-0.0399999999935972
4147270.8,101057.11,-7.88999999999942
4168870.8,101049.22,-15.7799999999988
4190470.8,101041.3,-23.6999999999971
4212070.5,101064.09,-0.910000000003492
4233670.5,101056.23,-8.77000000000407
4255270.5,101048.33,-16.6699999999983
4276870.5,101040.4,-24.6000000000058
4298470.5,101063.03,-1.97000000000116
4320070.5,101055.16,-9.83999999999651
4341670.5,101047.27,-17.7299999999959
4363270.5,101039.33,-25.6699999999983
4384870.5,101062.13,-2.86999999999534
4406470.5,101054.27,-10.7299999999959
4428070.5,101046.36,-18.6399999999994
4449670.5,101038.42,-26.5800000000017
4471270.5,101061.07,-3.92999999999302
4492870.5,101053.2,-11.8000000000029
4514470.5,101045.28,-19.7200000000012
4536070.5,101037.34,-27.6600000000035
4557670.5,101060.16,-4.83999999999651
4579270.5,101052.29,-12.7100000000064
4600870.5,101044.38,-20.6199999999953
4622470.5,101036.42,-28.5800000000017
4644070.5,101059.09,-5.91000000000349
4665670.5,101051.21,-13.7899999999936
4687270.5,101043.29,-21.7100000000064
4708870.5,101035.33,-29.6699999999983
4730470.5,101058.19,-6.80999999999767
4752070.5,101050.3,-14.6999999999971
4773670.5,101042.38,-22.6199999999953
4795270.5,101064.98,-0.0200000000040745
4816870.5,101057.11,-7.88999999999942
4838470.5,101049.22,-15.7799999999988
4860070.5,101041.29,-23.7100000000064
4881670.5,101064.06,-0.940000000002328
4903270.5,101056.2,-8.80000000000291
4924870.5,101048.3,-16.6999999999971
4946470.5,101040.37,-24.6300000000047
4968070.5,101062.99,-2.00999999999476
4989670.5,101055.13,-9.86999999999534
5011270.5,101047.22,-17.7799999999988
5032870.5,101039.28,-25.7200000000012
5054470.5,101062.09,-2.91000000000349
5076070.5,101054.21,-10.7899999999936
5097670.5,101046.3,-18.6999999999971
5119270.5,101038.36,-26.6399999999994
5140870.5,101061.01,-3.99000000000524
5162470.5,101053.13,-11.8699999999953
5184070.5,101045.22,-19.7799999999988
5205670.5,101037.27,-27.7299999999959
5227270.5,101060.1,-4.89999999999418
5248870.5,101052.22,-12.7799999999988
5270470.5,101044.3,-20.6999999999971
5292070.5,101036.35,-28.6499999999942
5313670.5,101059.1,-5.89999999999418
5335270.5,101051.22,-13.7799999999988
5356870.5,101043.29,-21.7100000000064
5378470.5,101035.33,-29.6699999999983
5400070.5,101058.1,-6.89999999999418
5421670.5,101050.2,-14.8000000000029
5443270.5,101042.27,-22.7299999999959
5464870.5,101064.95,-0.0500000000029104
5486470.5,101057.09,-7.91000000000349
5508070.5,101049.2,-15.8000000000029
5529670.5,101041.27,-23.7299999999959
5551270.5,101063.96,-1.0399999999936
5572870.5,101056.09,-8.91000000000349
5594470.5,101048.19,-16.8099999999977
5616070.5,101040.25,-24.75
5637670.5,101062.96,-2.0399999999936
5659270.5,101055.09,-9.91000000000349
5680870.5,101047.19,-17.8099999999977
5702470.5,101039.24,-25.7599999999948
5724070.5,101061.96,-3.0399999999936
5745670.5,101054.09,-10.9100000000035
5767270.5,101046.18,-18.820000000007
5788870.5,101038.23,-26.7700000000041
5810470.5,101060.97,-4.02999999999884
5832070.5,101053.09,-11.9100000000035
5853670.5,101045.18,-19.820000000007
5875270.5,101037.23,-27.7700000000041
5896870.5,101059.98,-5.02000000000407
5918470.5,101052.09,-12.9100000000035
5940070.5,101044.17,-20.8300000000017
5961670.5,101036.22,-28.7799999999988
