"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
10.6151,101065.07,0.0700000000069849
26.921801,101064.23,-0.770000000004075
42.767799,101065.47,0.470000000001164
67.881798,101067.45,2.44999999999709
107.6848,101065.3,0.30000000000291
170.76781,101061.91,-3.08999999999651
270.7468,101056.52,-8.47999999999593
370.7468,101064.41,-0.589999999996508
470.7468,101072.29,7.2899999999936
570.74683,101080.16,15.1600000000035
670.74683,101074.77,9.77000000000407
770.74683,101069.38,4.38000000000466
870.74683,101063.99,-1.00999999999476
970.74683,101058.61,-6.38999999999942
1070.7468,101066.52,1.52000000000407
1170.7468,101074.41,9.41000000000349
1270.7468,101069.03,4.02999999999884
1370.7468,101063.65,-1.35000000000582
1470.7468,101058.28,-6.72000000000116
1570.7468,101066.2,1.19999999999709
1670.7468,101074.1,9.10000000000582
1770.7468,101068.73,3.72999999999593
1870.7468,101063.35,-1.64999999999418
1970.7468,101057.98,-7.02000000000407
2070.7468,101065.91,0.910000000003492
2170.7468,101073.84,8.83999999999651
2270.7468,101068.46,3.4600000000064
2370.7468,101063.09,-1.91000000000349
2470.7468,101057.74,-7.25999999999476
2570.7468,101065.68,0.679999999993015
2670.7468,101073.62,8.61999999999534
2770.7468,101068.25,3.25
2870.7468,101062.89,-2.11000000000058
2970.7468,101057.53,-7.47000000000116
3070.7468,101065.48,0.479999999995925
3170.7468,101073.44,8.44000000000233
3270.7468,101068.07,3.07000000000698
3370.7468,101062.72,-2.27999999999884
3470.7468,101057.38,-7.61999999999534
3570.7468,101065.34,0.339999999996508
3670.7468,101073.3,8.30000000000291
3770.7468,101067.95,2.94999999999709
3870.7468,101062.59,-2.41000000000349
3970.7468,101057.25,-7.75
4070.7468,101065.23,0.229999999995925
4170.7466,101073.2,8.19999999999709
4270.7466,101067.85,2.85000000000582
4370.7466,101062.51,-2.49000000000524
4470.7466,101057.17,-7.83000000000175
4570.7466,101065.16,0.160000000003492
4670.7466,101073.15,8.14999999999418
4770.7466,101067.8,2.80000000000291
4870.7466,101062.47,-2.52999999999884
4970.7466,101057.14,-7.86000000000058
5070.7466,101065.14,0.139999999999418
5170.7466,101073.13,8.13000000000466
5270.7466,101067.8,2.80000000000291
5370.7466,101062.46,-2.5399999999936
5470.7466,101057.14,-7.86000000000058
5570.7466,101065.16,0.160000000003492
5670.7466,101073.16,8.16000000000349
5770.7466,101067.83,2.83000000000175
5870.7466,101062.5,-2.5
5970.7466,101057.19,-7.80999999999767
6070.7466,101065.21,0.210000000006403
6170.7466,101073.23,8.22999999999593
6270.7466,101067.9,2.89999999999418
6370.7466,101062.58,-2.41999999999825
6470.7466,101057.27,-7.72999999999593
6570.7466,101065.3,0.30000000000291
6670.7466,101073.34,8.33999999999651
6770.7466,101068.02,3.02000000000407
6870.7466,101062.7,-2.30000000000291
6970.7466,101057.39,-7.61000000000058
7070.7466,101065.44,0.440000000002328
7170.7466,101073.48,8.47999999999593
7270.7466,101068.16,3.16000000000349
7370.7466,101062.85,-2.14999999999418
7470.7466,101057.55,-7.44999999999709
7570.7466,101065.61,0.610000000000582
7670.7466,101073.66,8.66000000000349
7770.7466,101068.35,3.35000000000582
7870.7466,101063.05,-1.94999999999709
7970.7466,101057.75,-7.25
8070.7466,101065.82,0.820000000006985
8170.7466,101073.88,8.88000000000466
8270.7471,101068.58,3.58000000000175
8370.7471,101063.27,-1.72999999999593
8470.7471,101057.98,-7.02000000000407
8570.7471,101066.06,1.05999999999767
8670.7471,101074.14,9.13999999999942
8770.7471,101068.84,3.83999999999651
8870.7471,101063.55,-1.44999999999709
8970.7471,101058.26,-6.74000000000524
9070.7471,101066.35,1.35000000000582
9170.7471,101074.44,9.44000000000233
9270.7471,101069.14,4.13999999999942
9370.7471,101063.85,-1.14999999999418
9470.7471,101058.57,-6.42999999999302
9570.7471,101066.67,1.66999999999825
9670.7471,101074.77,9.77000000000407
9770.7471,101069.48,4.47999999999593
9870.7471,101064.19,-0.809999999997672
9970.7471,101058.91,-6.08999999999651
10070.747,101067.02,2.02000000000407
10170.747,101075.13,10.1300000000047
10270.747,101069.85,4.85000000000582
10370.747,101064.57,-0.429999999993015
10470.747,101059.3,-5.69999999999709
10570.747,101067.42,2.41999999999825
10670.747,101075.54,10.5399999999936
10770.747,101070.26,5.25999999999476
10870.747,101064.98,-0.0200000000040745
10970.747,101059.71,-5.2899999999936
11070.747,101067.84,2.83999999999651
11170.747,101075.98,10.9799999999959
11270.747,101070.7,5.69999999999709
11370.747,101065.43,0.429999999993015
11470.747,101060.16,-4.83999999999651
11570.747,101054.91,-10.0899999999965
11670.747,101063.05,-1.94999999999709
11770.747,101071.2,6.19999999999709
11870.747,101079.35,14.3500000000058
11970.747,101074.07,9.07000000000698
12070.747,101068.8,3.80000000000291
12170.747,101063.54,-1.4600000000064
12270.747,101058.29,-6.7100000000064
12370.747,101066.45,1.44999999999709
12470.747,101074.61,9.61000000000058
12570.747,101069.35,4.35000000000582
12670.747,101064.09,-0.910000000003492
12770.747,101058.84,-6.16000000000349
12870.747,101067.02,2.02000000000407
12970.747,101075.19,10.1900000000023
13070.747,101069.93,4.92999999999302
13170.747,101064.67,-0.330000000001746
13270.747,101059.43,-5.57000000000698
13370.747,101067.62,2.61999999999534
13470.747,101075.8,10.8000000000029
13570.747,101070.54,5.5399999999936
13670.747,101065.29,0.289999999993597
13770.747,101060.05,-4.94999999999709
13870.747,101054.81,-10.1900000000023
13970.747,101063.02,-1.97999999999593
14070.747,101071.21,6.2100000000064
14170.747,101079.41,14.4100000000035
14270.747,101074.15,9.14999999999418
14370.747,101068.91,3.91000000000349
14470.747,101063.66,-1.33999999999651
14570.747,101058.43,-6.57000000000698
14670.747,101066.65,1.64999999999418
14770.747,101074.85,9.85000000000582
14870.747,101069.61,4.61000000000058
14970.747,101064.38,-0.619999999995343
15070.747,101059.15,-5.85000000000582
15170.747,101067.37,2.36999999999534
15270.747,101075.59,10.5899999999965
15370.747,101070.35,5.35000000000582
15470.747,101065.12,0.119999999995343
15570.747,101059.89,-5.11000000000058
15670.747,101054.67,-10.3300000000017
15770.747,101062.91,-2.08999999999651
15870.747,101071.15,6.14999999999418
15970.747,101079.38,14.3800000000047
16070.747,101074.15,9.14999999999418
16170.747,101068.91,3.91000000000349
16270.747,101063.69,-1.30999999999767
16370.747,101058.48,-6.52000000000407
16470.746,101066.73,1.72999999999593
16570.746,101074.98,9.97999999999593
16670.746,101069.75,4.75
16770.746,101064.52,-0.479999999995925
16870.746,101059.31,-5.69000000000233
16970.746,101067.58,2.58000000000175
17070.746,101075.84,10.8399999999965
17170.746,101070.61,5.61000000000058
17270.746,101065.39,0.389999999999418
17370.746,101060.18,-4.82000000000698
17470.746,101054.98,-10.0200000000041
17570.746,101063.26,-1.74000000000524
17670.746,101071.53,6.52999999999884
17770.746,101079.8,14.8000000000029
17870.746,101074.58,9.58000000000175
17970.746,101069.36,4.36000000000058
18070.746,101064.15,-0.850000000005821
18170.746,101058.95,-6.05000000000291
18270.746,101067.24,2.24000000000524
18370.746,101075.52,10.5200000000041
18470.746,101070.31,5.30999999999767
18570.746,101065.1,0.100000000005821
18670.746,101059.91,-5.08999999999651
18770.746,101054.71,-10.2899999999936
18870.746,101063.02,-1.97999999999593
18970.746,101071.32,6.32000000000698
19070.746,101079.62,14.6199999999953
19170.746,101074.41,9.41000000000349
19270.746,101069.2,4.19999999999709
19370.746,101064,-1
19470.746,101058.81,-6.19000000000233
19570.746,101067.13,2.13000000000466
19670.746,101075.44,10.4400000000023
19770.746,101070.23,5.22999999999593
19870.746,101065.04,0.0399999999935972
19970.746,101059.85,-5.14999999999418
20070.746,101054.67,-10.3300000000017
20170.746,101063.01,-1.99000000000524
20270.746,101071.34,6.33999999999651
20370.746,101079.66,14.6600000000035
20470.746,101074.45,9.44999999999709
20570.746,101069.26,4.25999999999476
20670.746,101064.07,-0.929999999993015
20770.746,101058.89,-6.11000000000058
20870.746,101067.23,2.22999999999593
20970.746,101075.57,10.570000000007
21070.746,101070.38,5.38000000000466
21170.746,101065.2,0.19999999999709
21270.746,101060.02,-4.97999999999593
21370.746,101054.84,-10.1600000000035
21470.746,101063.2,-1.80000000000291
21570.746,101071.55,6.55000000000291
21670.746,101079.91,14.9100000000035
21770.746,101074.71,9.7100000000064
21870.746,101069.53,4.52999999999884
21970.746,101064.35,-0.649999999994179
22070.746,101059.18,-5.82000000000698
22170.746,101067.55,2.55000000000291
22270.746,101075.91,10.9100000000035
