"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
10.6151,101065.95,0.94999999999709
26.921801,101064.19,-0.809999999997672
42.767799,101062.46,-2.5399999999936
67.881798,101067.14,2.13999999999942
107.6848,101074.55,9.55000000000291
170.76781,101067.67,2.66999999999825
270.7468,101056.81,-8.19000000000233
370.7468,101046,-19
470.7468,101064.75,-0.25
570.74683,101083.45,18.4499999999971
670.74683,101102.09,37.0899999999965
770.74683,101091.1,26.1000000000058
870.74683,101080.17,15.1699999999983
970.74683,101069.29,4.2899999999936
1070.7468,101058.47,-6.52999999999884
1170.7468,101047.7,-17.3000000000029
1270.7468,101066.59,1.58999999999651
1370.7468,101085.41,20.4100000000035
1470.7468,101074.55,9.55000000000291
1570.7468,101063.73,-1.27000000000407
1670.7468,101052.97,-12.0299999999988
1770.7468,101071.91,6.91000000000349
1870.7468,101090.8,25.8000000000029
1970.7468,101079.95,14.9499999999971
2070.7468,101069.13,4.13000000000466
2170.7468,101058.38,-6.61999999999534
2270.7468,101047.67,-17.3300000000017
2370.7468,101066.74,1.74000000000524
2470.7468,101085.76,20.7599999999948
2570.7468,101074.95,9.94999999999709
2670.7468,101064.2,-0.80000000000291
2770.7468,101053.49,-11.5099999999948
2870.7468,101072.63,7.63000000000466
2970.7468,101091.7,26.6999999999971
3070.7468,101080.88,15.8800000000047
3170.7468,101070.13,5.13000000000466
3270.7468,101059.43,-5.57000000000698
3370.7468,101048.78,-16.2200000000012
3470.7468,101068.03,3.02999999999884
3570.7468,101087.22,22.2200000000012
3670.7468,101076.46,11.4600000000064
3770.7468,101065.76,0.759999999994761
3870.7468,101055.11,-9.88999999999942
3970.7468,101044.51,-20.4900000000052
4070.7468,101063.88,-1.11999999999534
4170.7466,101083.17,18.1699999999983
4270.7466,101102.41,37.4100000000035
4370.7466,101091.62,26.6199999999953
4470.7466,101080.88,15.8800000000047
4570.7466,101070.2,5.19999999999709
4670.7466,101059.56,-5.44000000000233
4770.7466,101048.98,-16.0200000000041
4870.7466,101068.45,3.44999999999709
4970.7466,101087.86,22.8600000000006
5070.7466,101077.16,12.1600000000035
5170.7466,101066.53,1.52999999999884
5270.7466,101055.95,-9.05000000000291
5370.7466,101045.41,-19.5899999999965
5470.7466,101064.98,-0.0200000000040745
5570.7466,101084.5,19.5
5670.7466,101103.94,38.9400000000023
5770.7466,101093.21,28.2100000000064
5870.7466,101082.53,17.5299999999988
5970.7466,101071.9,6.89999999999418
6070.7466,101061.33,-3.66999999999825
6170.7466,101050.8,-14.1999999999971
6270.7466,101070.48,5.47999999999593
6370.7466,101090.09,25.0899999999965
6470.7466,101079.45,14.4499999999971
6570.7466,101068.86,3.86000000000058
6670.7466,101058.32,-6.67999999999302
6770.7466,101047.84,-17.1600000000035
6870.7466,101067.62,2.61999999999534
6970.7466,101087.32,22.320000000007
7070.7466,101076.72,11.7200000000012
7170.7466,101066.16,1.16000000000349
7270.7466,101055.67,-9.33000000000175
7370.7466,101045.22,-19.7799999999988
7470.7466,101065.09,0.0899999999965075
7570.7466,101084.9,19.8999999999942
7670.7466,101074.34,9.33999999999651
7770.7466,101063.81,-1.19000000000233
7870.7466,101053.35,-11.6499999999942
7970.7466,101073.27,8.27000000000407
8070.7466,101093.1,28.1000000000058
8170.7466,101082.52,17.5200000000041
8270.7471,101071.98,6.97999999999593
8370.7471,101061.5,-3.5
8470.7471,101051.06,-13.9400000000023
8570.7471,101071.07,6.07000000000698
8670.7471,101091.01,26.0099999999948
8770.7471,101080.45,15.4499999999971
8870.7471,101069.95,4.94999999999709
8970.7471,101059.49,-5.50999999999476
9070.7471,101049.09,-15.9100000000035
9170.7471,101069.19,4.19000000000233
9270.7471,101089.21,24.2100000000064
9370.7471,101078.69,13.6900000000023
9470.7471,101068.21,3.2100000000064
9570.7471,101057.78,-7.22000000000116
9670.7471,101047.41,-17.5899999999965
9770.7471,101067.59,2.58999999999651
9870.7471,101087.71,22.7100000000064
9970.7471,101077.21,12.2100000000064
10070.747,101066.76,1.75999999999476
10170.747,101056.36,-8.63999999999942
10270.747,101046.02,-18.9799999999959
10370.747,101066.29,1.2899999999936
