"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
21670.746,101064.88,-0.119999999995343
43270.746,101068.05,3.05000000000291
64870.746,101066.66,1.66000000000349
86470.75,101065.74,0.740000000005239
108070.75,101064.67,-0.330000000001746
129670.75,101065.37,0.369999999995343
151270.75,101064.14,-0.860000000000582
172870.75,101065.37,0.369999999995343
194470.75,101065.1,0.100000000005821
216070.75,101064.73,-0.270000000004075
237670.75,101062.83,-2.16999999999825
259270.75,101063.31,-1.69000000000233
280870.75,101061.81,-3.19000000000233
302470.75,101064.8,-0.19999999999709
324070.75,101062.29,-2.7100000000064
345670.75,101066.05,1.05000000000291
367270.75,101065.98,0.979999999995925
388870.75,101062.8,-2.19999999999709
410470.75,101062.63,-2.36999999999534
432070.75,101063.37,-1.63000000000466
453670.75,101062.86,-2.13999999999942
475270.75,101064.34,-0.660000000003492
496870.75,101065.59,0.589999999996508
518470.75,101061.63,-3.36999999999534
540070.75,101063.7,-1.30000000000291
561670.75,101061.24,-3.75999999999476
583270.75,101063.05,-1.94999999999709
604870.75,101060.99,-4.00999999999476
626470.75,101063.6,-1.39999999999418
648070.75,101063.02,-1.97999999999593
669670.75,101064.92,-0.0800000000017462
691270.75,101064.05,-0.94999999999709
712870.75,101060.83,-4.16999999999825
734470.75,101060.64,-4.36000000000058
756070.75,101063.7,-1.30000000000291
777670.75,101064.91,-0.0899999999965075
799270.75,101064.18,-0.820000000006985
820870.75,101061.9,-3.10000000000582
842470.75,101063.54,-1.4600000000064
864070.75,101063.69,-1.30999999999767
885670.75,101062.59,-2.41000000000349
907270.75,101060.32,-4.67999999999302
928870.75,101062.33,-2.66999999999825
950470.75,101063.31,-1.69000000000233
972070.75,101063.4,-1.60000000000582
993670.75,101062.52,-2.47999999999593
1015270.8,101060.95,-4.05000000000291
1036870.8,101064.04,-0.960000000006403
1058470.8,101061.04,-3.9600000000064
1080070.8,101062.81,-2.19000000000233
1101670.8,101064.02,-0.979999999995925
1123270.8,101064.65,-0.350000000005821
1144870.8,101064.82,-0.179999999993015
1166470.8,101064.56,-0.440000000002328
1188070.8,101063.88,-1.11999999999534
1209670.8,101062.83,-2.16999999999825
1231270.8,101061.42,-3.58000000000175
1252870.8,101059.78,-5.22000000000116
1274470.8,101063.05,-1.94999999999709
1296070.8,101060.75,-4.25
1317670.8,101063.61,-1.38999999999942
1339270.8,101060.85,-4.14999999999418
1360870.8,101063.2,-1.80000000000291
1382470.8,101059.98,-5.02000000000407
1404070.8,101062.02,-2.97999999999593
1425670.8,101063.86,-1.13999999999942
1447270.8,101060.13,-4.86999999999534
1468870.8,101061.67,-3.33000000000175
1490470.8,101063.12,-1.88000000000466
1512070.8,101064.34,-0.660000000003492
1533670.8,101060.13,-4.86999999999534
1555270.8,101061.2,-3.80000000000291
1576870.8,101062.2,-2.80000000000291
1598470.8,101063.01,-1.99000000000524
1620070.8,101063.89,-1.11000000000058
1641670.8,101064.62,-0.380000000004657
1663270.8,101059.83,-5.16999999999825
1684870.8,101060.45,-4.55000000000291
1706470.8,101060.9,-4.10000000000582
1728070.8,101061.46,-3.5399999999936
1749670.8,101061.88,-3.11999999999534
1771270.8,101062.23,-2.77000000000407
1792870.8,101062.52,-2.47999999999593
1814470.8,101062.78,-2.22000000000116
1836070.8,101063.13,-1.86999999999534
1857670.8,101063.26,-1.74000000000524
1879270.8,101063.47,-1.52999999999884
1900870.8,101063.66,-1.33999999999651
1922470.8,101063.73,-1.27000000000407
1944070.8,101063.91,-1.08999999999651
1965670.8,101063.95,-1.05000000000291
1987270.8,101064.09,-0.910000000003492
2008870.8,101064.1,-0.899999999994179
2030470.8,101064.09,-0.910000000003492
2052070.8,101064.07,-0.929999999993015
2073670.8,101064.09,-0.910000000003492
2095270.8,101064.05,-0.94999999999709
2116870.8,101064.04,-0.960000000006403
2138470.8,101064.01,-0.990000000005239
2160070.8,101063.98,-1.02000000000407
2181670.8,101063.92,-1.08000000000175
2203270.8,101063.78,-1.22000000000116
2224870.8,101063.73,-1.27000000000407
2246470.8,101063.56,-1.44000000000233
2268070.8,101063.5,-1.5
2289670.8,101063.43,-1.57000000000698
2311270.8,101063.25,-1.75
2332870.8,101063.1,-1.89999999999418
2354470.8,101062.99,-2.00999999999476
2376070.8,101062.91,-2.08999999999651
2397670.8,101062.72,-2.27999999999884
2419270.8,101062.53,-2.47000000000116
2440870.8,101062.45,-2.55000000000291
2462470.8,101062.25,-2.75
2484070.8,101062.16,-2.83999999999651
2505670.8,101061.96,-3.0399999999936
2527270.8,101061.75,-3.25
2548870.8,101061.65,-3.35000000000582
2570470.8,101061.44,-3.55999999999767
2592070.8,101061.22,-3.77999999999884
2613670.8,101061.11,-3.88999999999942
2635270.8,101060.88,-4.11999999999534
2656870.8,101060.66,-4.33999999999651
2678470.8,101060.54,-4.4600000000064
2700070.8,101060.31,-4.69000000000233
2721670.8,101060.1,-4.89999999999418
2743270.8,101059.98,-5.02000000000407
2764870.8,101059.77,-5.22999999999593
2786470.8,101065,0
2808070.8,101064.77,-0.229999999995925
2829670.8,101064.54,-0.460000000006403
2851270.8,101064.32,-0.679999999993015
2872870.8,101064.2,-0.80000000000291
2894470.8,101063.96,-1.0399999999936
2916070.8,101063.73,-1.27000000000407
2937670.8,101063.51,-1.49000000000524
2959270.8,101063.27,-1.72999999999593
2980870.8,101063.15,-1.85000000000582
3002470.8,101062.92,-2.08000000000175
3024070.8,101062.69,-2.30999999999767
